timestamp,city,temperature,description
2025-12-17T12:49:36.855Z,Dublin,12.93,overcast clouds
2025-12-17T12:49:36.857Z,Dublin,12.93,overcast clouds
2025-12-17T14:24:38.694Z,Dublin,13.28,overcast clouds
2025-12-17T14:24:38.696Z,Dublin,13.28,overcast clouds
2025-12-17T16:31:31.626Z,Dublin,13.66,light rain
2025-12-17T16:31:31.628Z,Dublin,13.66,light rain
2025-12-17T18:35:11.004Z,Dublin,14.77,mist
2025-12-17T18:35:11.006Z,Dublin,14.77,mist
2025-12-17T20:27:09.352Z,Dublin,16.84,mist
2025-12-17T20:27:09.354Z,Dublin,16.84,mist
